Commodity,PALLFNF,PEXGALL,PNFUEL,PFANDB,PFOOD,PBEVE,PINDU,PAGRI,PRAWM,PALLMETA,PMETA,PPMETA,PEXGMETA,PFERT,PNRG,POILAPSP,PNGAS,PCOAL,PALUM,PBANSOP,PBARL,PBEEF,PCOALAU,PCOALSA_USD,PCOCO,PCOFFOTM,PCOFFROB,PROIL,PCOPP,PCOTTIND,PFSHMEAL,PGNUTS,PHIDE,PIORECR,PLAMB,PLEAD,PLOGORE,PLOGSK,PMAIZMT,PNGASEU,PNGASJP,PNGASUS,PNICK,POILAPSP,POILBRE,POILDUB,POILWTI,POLVOIL,PORANG,PPOIL,PPORK,PPOULT,PRICENPQ,PRUBB,PSALM,PSAWMAL,PSAWORE,PSHRI,PSMEA,PSOIL,PSOYB,PSUGAISA,PSUGAUSA,PSUNO,PTEA,PTIN,PURAN,PWHEAMT,POATS,PSORG,PWOOLC,PWOOLF,PZINC,PLMMODY,PCOBA,PGOLD,PSILVER,PPALLA,PPLAT,PPROPANE,PUREA,PPOTASH,PDAP,PTOMATO,PMILK,PCHANA,PAPPLE
1980M1,,,,,,124.374,,,69.466,,,,,62.507,,,,,2054.860,401.961,66.585,136.360,39.697,,3167.157,168.670,162.560,591.590,2592.633,88.720,986.555,980.075,59.100,12.150,117.230,1111.128,84.391,146.075,105.507,,,,6584.801,35.640,40.000,38.000,37.000,2271.723,0.913,547.054,72.419,33.900,395.000,68.820,7.453,297.610,138.004,13.338,201.756,525.581,238.766,17.300,19.660,566.927,225.18,16973.59,40.00,175.63,1.48,5.10,553.12,684.28,773.82,,,674.37,39.28,,806.79,,150.00,100.00,261.32,,,,
1980M2,,,,,,124.357,,,72.604,,,,,66.432,,,,,2131.009,372.186,66.585,134.550,40.258,,3236.823,164.830,162.000,596.600,2916.712,97.210,1040.806,1000.376,48.700,12.150,122.010,1166.244,80.249,159.565,114.168,,,,6978.928,35.090,38.500,36.000,37.040,2256.483,0.855,555.318,65.528,32.554,399.000,75.310,7.605,308.289,131.231,12.677,198.262,518.747,241.361,22.750,24.690,573.959,233.09,17090.21,38.00,172.70,1.44,5.39,568.15,722.57,868.62,,,665.29,35.60,,882.32,,160.71,115.00,258.10,,,,
1980M3,,,,,,129.212,,,68.529,,,,,67.479,,,,,1978.379,422.914,69.898,118.000,40.828,,3091.098,184.380,169.890,561.510,2303.828,93.530,960.435,1009.398,39.400,12.150,119.320,1117.742,80.249,155.275,109.837,,,,6733.787,36.010,38.250,35.750,39.520,2188.114,0.953,518.131,65.002,31.827,415.000,66.350,7.400,304.922,131.231,12.787,186.103,486.780,227.076,19.630,21.180,535.285,226.83,17460.59,35.00,163.51,1.37,5.20,552.75,695.96,740.75,,,553.58,24.74,,746.54,,165.00,115.00,259.86,,,,
1980M4,,,,,,124.304,,,67.094,,,,,67.252,,,,,1932.456,395.896,69.898,114.510,41.405,,2910.098,180.810,162.900,541.450,2074.548,90.560,944.360,1015.038,38.100,12.150,132.720,970.033,87.498,152.785,108.263,,,,6233.369,35.090,38.150,35.000,39.500,2081.168,0.891,504.909,51.859,30.990,419.000,60.550,7.426,302.950,143.084,12.346,181.198,451.065,218.210,21.250,22.670,486.063,221.81,17041.71,32.00,156.53,1.40,5.20,510.65,688.13,707.68,,,517.41,14.98,,589.06,,169.09,112.50,248.09,,,,
1980M5,,,,,,127.143,,,66.928,,,,,65.545,,,,,1775.804,444.969,68.241,110.500,41.991,,2585.799,190.540,174.060,536.440,2076.752,88.400,1014.685,1035.338,33.800,12.150,142.070,793.663,87.498,162.735,109.837,,,,6000.770,35.720,38.500,35.600,39.500,2044.541,0.887,482.597,54.901,30.663,433.000,60.390,7.693,310.721,143.084,12.015,187.393,463.191,225.904,30.940,31.890,502.763,229.61,17180.60,32.00,161.30,1.64,5.31,524.93,720.76,701.07,,,513.79,12.66,,559.65,,170.00,117.50,211.36,,,,
1980M6,,,,,,123.044,,,66.562,,,,,64.095,,,,,1668.960,342.411,64.928,113.890,42.585,,2498.055,181.410,169.010,546.460,2006.204,84.140,972.490,1043.233,38.200,12.150,141.630,736.343,87.498,164.425,113.380,,,,6294.834,35.540,38.000,36.000,39.500,2053.294,0.867,458.633,62.467,31.281,442.000,61.870,8.017,312.027,143.084,11.464,190.061,485.016,232.634,30.800,32.100,493.974,235.41,17211.47,31.50,157.63,1.70,5.42,532.95,737.26,676.82,,,600.72,15.81,,641.84,,162.38,117.50,214.24,,,,
1980M7,,,,,,110.244,,,67.877,,,,,64.228,,,,,1758.075,351.785,86.528,124.960,43.187,,2464.765,155.670,147.940,594.590,2175.960,88.870,962.444,992.481,43.900,12.150,146.380,809.095,93.710,141.135,130.702,,,,6622.166,34.330,37.400,33.350,39.490,2073.157,0.878,450.369,84.679,34.337,442.000,61.060,8.318,293.595,153.244,11.464,222.678,585.988,273.722,27.700,28.750,555.501,222.29,17090.21,31.50,168.65,1.82,6.03,540.84,736.90,712.09,,,644.28,16.32,,670.35,,160.00,122.50,214.78,,,,
1980M8,,,,,,99.783,,,69.153,,,,,63.677,,,,,1783.627,342.411,81.558,132.510,43.798,,2312.206,135.990,132.050,590.580,2081.161,96.370,984.546,1060.150,53.300,12.150,140.960,850.983,82.838,134.515,143.300,,,,6584.506,31.880,33.600,32.300,38.010,2063.708,0.919,428.057,102.723,36.410,442.000,63.550,8.470,288.174,135.464,11.023,234.484,583.342,279.602,31.770,33.140,577.474,226.04,17008.64,30.00,171.23,1.79,6.49,540.22,727.38,767.21,,,627.15,15.92,,644.24,,160.00,116.50,217.43,,,,
1980M9,,,,,,95.610,,,69.922,,,,,63.402,,,,,1655.066,352.887,78.245,129.150,44.417,,2386.060,125.880,124.960,591.590,2059.115,101.120,1006.648,1353.383,43.000,12.150,132.490,881.848,73.001,159.125,140.938,,,,6655.357,31.910,33.400,32.250,36.020,2092.631,0.974,420.620,101.183,37.974,442.000,66.090,8.566,307.915,119.378,10.141,263.761,591.940,303.304,34.740,35.030,561.653,209.75,17295.24,28.50,179.68,1.98,6.43,553.75,728.83,795.87,,,673.63,19.89,,695.88,,160.00,118.00,210.73,,,,
1980M10,,,,,,94.873,,,66.365,,,,,64.535,,,,,1626.152,325.318,88.185,129.830,45.046,,2305.371,126.090,125.490,545.460,2045.887,98.690,1028.750,1917.293,49.100,12.150,134.360,870.825,67.824,105.055,140.545,,,,6691.947,37.250,37.900,36.800,36.000,2131.474,0.941,418.967,108.956,38.447,442.000,64.530,8.511,262.907,110.911,10.362,282.831,571.438,315.017,40.550,41.700,554.622,203.66,16682.36,28.00,188.13,2.06,6.48,529.69,715.58,804.69,,,661.31,20.22,,675.60,,166.52,118.00,206.70,,,,
