Symbol,Name,Sector,Industry,Exchange
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,nyse
MMM,3M Company,Health Care,Medical/Dental Instruments,nyse
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,nyse
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",nyse
EGHT,8x8 Inc,Technology,EDP Services,nyse
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,nyse
AOS,A.O Smith Corporation,Consumer Durables,Consumer Electronics/Appliances,nyse
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,nyse
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,nyse
AIR,AAR Corp.,Capital Goods,Aerospace,nyse
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,nyse
ABB,ABB Ltd,Consumer Durables,Electrical Products,nyse
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,nyse
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,nyse
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,nyse
AGD,Aberdeen Global Dynamic Dividend Fund,,,nyse
AWP,Aberdeen Global Premier Properties Fund,,,nyse
ACP,Aberdeen Income Credit Strategies Fund,,,nyse
JEQ,"Aberdeen Japan Equity Fund, Inc.",,,nyse
AOD,Aberdeen Total Dynamic Dividend Fund,,,nyse
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,nyse
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,nyse
ACN,Accenture plc,Miscellaneous,Business Services,nyse
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,nyse
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,nyse
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,nyse
AYI,"Acuity Brands, Inc.",Consumer Durables,Building Products,nyse
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,nyse
ADX,"Adams Diversified Equity Fund, Inc.",,,nyse
PEO,"Adams Natural Resources Fund, Inc.",,,nyse
AGRO,Adecoagro S.A.,Consumer Non-Durables,Farming/Seeds/Milling,nyse
ADNT,Adient plc,Capital Goods,Auto Parts:O.E.M.,nyse
ADT,ADT Inc.,Consumer Services,Diversified Commercial Services,nyse
ATGE,Adtalem Global Education Inc.,Consumer Services,Other Consumer Services,nyse
AAP,Advance Auto Parts Inc,Consumer Services,Other Specialty Stores,nyse
ADSW,"Advanced Disposal Services, Inc.",Public Utilities,Environmental Services,nyse
WMS,"Advanced Drainage Systems, Inc.",Capital Goods,Containers/Packaging,nyse
ASIX,AdvanSix Inc.,Basic Industries,Major Chemicals,nyse
AVK,Advent Convertible and Income Fund,,,nyse
ACM,AECOM,Consumer Services,Military/Government/Technical,nyse
AEB,Aegon NV,Finance,Life Insurance,nyse
AEG,Aegon NV,Finance,Life Insurance,nyse
AEH,Aegon NV,Finance,Life Insurance,nyse
AER,Aercap Holdings N.V.,Technology,Diversified Commercial Services,nyse
AJRD,"Aerojet Rocketdyne Holdings, Inc.",Capital Goods,Military/Government/Technical,nyse
AMG,"Affiliated Managers Group, Inc.",Finance,Investment Managers,nyse
MGR,"Affiliated Managers Group, Inc.",Finance,Investment Managers,nyse
AFL,Aflac Incorporated,Finance,Accident &Health Insurance,nyse
MITT,"AG Mortgage Investment Trust, Inc.",,,nyse
AGCO,AGCO Corporation,Capital Goods,Industrial Machinery/Components,nyse
A,"Agilent Technologies, Inc.",Capital Goods,Biotechnology: Laboratory Analytical Instruments,nyse
AEM,Agnico Eagle Mines Limited,Basic Industries,Precious Metals,nyse
ADC,Agree Realty Corporation,Consumer Services,Real Estate Investment Trusts,nyse
AL,Air Lease Corporation,Technology,Diversified Commercial Services,nyse
APD,"Air Products and Chemicals, Inc.",Basic Industries,Major Chemicals,nyse
AYR,Aircastle Limited,Technology,Diversified Commercial Services,nyse
AKS,AK Steel Holding Corporation,Basic Industries,Steel/Iron Ore,nyse
ALG,"Alamo Group, Inc.",Capital Goods,Industrial Machinery/Components,nyse
AGI,Alamos Gold Inc.,Basic Industries,Precious Metals,nyse
ALK,"Alaska Air Group, Inc.",Transportation,Air Freight/Delivery Services,nyse
AIN,Albany International Corporation,Basic Industries,Textiles,nyse
ALB,Albemarle Corporation,Basic Industries,Major Chemicals,nyse
AA,Alcoa Corporation,Basic Industries,Aluminum,nyse
ALC,Alcon Inc.,Health Care,Ophthalmic Goods,nyse
ALEX,"Alexander & Baldwin, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
ALX,"Alexander&#39;s, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
ARE,"Alexandria Real Estate Equities, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AQN,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,nyse
AQNA,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,nyse
AQNB,Algonquin Power & Utilities Corp.,Public Utilities,Electric Utilities: Central,nyse
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,nyse
Y,Alleghany Corporation,Finance,Property-Casualty Insurers,nyse
ATI,Allegheny Technologies Incorporated,Basic Industries,Steel/Iron Ore,nyse
ALLE,Allegion plc,Consumer Services,Diversified Commercial Services,nyse
AGN,Allergan plc.,Health Care,Major Pharmaceuticals,nyse
ALE,"Allete, Inc.",Public Utilities,Power Generation,nyse
ADS,Alliance Data Systems Corporation,Miscellaneous,Business Services,nyse
AFB,Alliance National Municipal Income Fund Inc,,,nyse
AWF,Alliance World Dollar Government Fund II,,,nyse
AB,AllianceBernstein Holding L.P.,Finance,Investment Managers,nyse
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,,,nyse
NCV,AllianzGI Convertible & Income Fund,,,nyse
NCZ,AllianzGI Convertible & Income Fund II,,,nyse
ACV,AllianzGI Diversified Income & Convertible Fund,,,nyse
NIE,AllianzGI Equity & Convertible Income Fund,,,nyse
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",Finance,Finance: Consumer Services,nyse
ALSN,"Allison Transmission Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,nyse
ALL,Allstate Corporation (The),Finance,Property-Casualty Insurers,nyse
ALLY,Ally Financial Inc.,Finance,Major Banks,nyse
AYX,"Alteryx, Inc.",Technology,Computer Software: Prepackaged Software,nyse
ATUS,"Altice USA, Inc.",Consumer Services,Television Services,nyse
MO,Altria Group,Consumer Non-Durables,Farming/Seeds/Milling,nyse
ACH,Aluminum Corporation of China Limited,Basic Industries,Aluminum,nyse
ABEV,Ambev S.A.,Consumer Non-Durables,Beverages (Production/Distribution),nyse
AMC,"AMC Entertainment Holdings, Inc.",Consumer Services,Movies/Entertainment,nyse
AMCR,Amcor plc,Consumer Durables,Miscellaneous manufacturing industries,nyse
AEE,Ameren Corporation,Public Utilities,Power Generation,nyse
AMRC,"Ameresco, Inc.",Basic Industries,Engineering & Construction,nyse
AMOV,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,nyse
AMX,"America Movil, S.A.B. de C.V.",Public Utilities,Telecommunications Equipment,nyse
AAT,"American Assets Trust, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AXL,"American Axle & Manufacturing Holdings, Inc.",Capital Goods,Auto Parts:O.E.M.,nyse
ACC,American Campus Communities Inc,Consumer Services,Real Estate Investment Trusts,nyse
AEO,"American Eagle Outfitters, Inc.",Consumer Services,Clothing/Shoe/Accessory Stores,nyse
AEP,"American Electric Power Company, Inc.",Public Utilities,Electric Utilities: Central,nyse
AEL,American Equity Investment Life Holding Company,Finance,Life Insurance,nyse
AXP,American Express Company,Finance,Finance: Consumer Services,nyse
AFG,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,nyse
AFGB,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,nyse
AFGE,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,nyse
AFGH,"American Financial Group, Inc.",Finance,Property-Casualty Insurers,nyse
AMH,American Homes 4 Rent,Consumer Services,Real Estate Investment Trusts,nyse
AIG,"American International Group, Inc.",Finance,Property-Casualty Insurers,nyse
ARL,"American Realty Investors, Inc.",Finance,Real Estate,nyse
ARA,"American Renal Associates Holdings, Inc",Health Care,Hospital/Nursing Management,nyse
AWR,American States Water Company,Public Utilities,Water Supply,nyse
AMT,American Tower Corporation (REIT),Consumer Services,Real Estate Investment Trusts,nyse
AVD,American Vanguard Corporation,Basic Industries,Agricultural Chemicals,nyse
AWK,American Water Works,Public Utilities,Water Supply,nyse
COLD,Americold Realty Trust,Consumer Services,Real Estate Investment Trusts,nyse
APU,"AmeriGas Partners, L.P.",Consumer Services,Other Specialty Stores,nyse
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",Finance,Investment Managers,nyse
ABC,AmerisourceBergen Corporation (Holding Co),Health Care,Other Pharmaceuticals,nyse
ANFI,Amira Nature Foods Ltd,Consumer Non-Durables,Packaged Foods,nyse
AMN,AMN Healthcare Services Inc,Technology,Professional Services,nyse
AMRX,"Amneal Pharmaceuticals, Inc.",Health Care,Major Pharmaceuticals,nyse
AP,Ampco-Pittsburgh Corporation,Capital Goods,Fluid Controls,nyse
APH,Amphenol Corporation,Capital Goods,Electrical Products,nyse
AXR,AMREP Corporation,Consumer Services,Newspapers/Magazines,nyse
HKIB,AMTD International Inc.,Finance,Finance: Consumer Services,nyse
AME,"AMTEK, Inc.",Consumer Durables,Metal Fabrications,nyse
PLAN,"Anaplan, Inc.",Technology,Computer Software: Prepackaged Software,nyse
FINS,Angel Oak Financial Strategies Income Term Trust,,,nyse
AU,AngloGold Ashanti Limited,Basic Industries,Precious Metals,nyse
BUD,Anheuser-Busch Inbev SA,Consumer Non-Durables,Beverages (Production/Distribution),nyse
AXE,Anixter International Inc.,Consumer Non-Durables,Telecommunications Equipment,nyse
NLY,Annaly Capital Management Inc,Consumer Services,Real Estate Investment Trusts,nyse
AM,Antero Midstream Corporation,Public Utilities,Natural Gas Distribution,nyse
AR,Antero Resources Corporation,Energy,Oil & Gas Production,nyse
ANTM,"Anthem, Inc.",Health Care,Medical Specialities,nyse
ANH,Anworth Mortgage Asset  Corporation,Consumer Services,Real Estate Investment Trusts,nyse
AON,Aon plc,Finance,Specialty Insurers,nyse
APA,Apache Corporation,Energy,Oil & Gas Production,nyse
AIV,Apartment Investment and Management Company,Consumer Services,Real Estate Investment Trusts,nyse
APY,Apergy Corporation,Technology,Industrial Machinery/Components,nyse
APHA,Aphria Inc.,Consumer Durables,Specialty Chemicals,nyse
ARI,Apollo Commercial Real Estate Finance,Consumer Services,Real Estate Investment Trusts,nyse
APO,"Apollo Global Management, LLC",Finance,Investment Managers,nyse
AFT,Apollo Senior Floating Rate Fund Inc.,,,nyse
AIF,Apollo Tactical Income Fund Inc.,,,nyse
APLE,"Apple Hospitality REIT, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AIT,"Applied Industrial Technologies, Inc.",Consumer Durables,Industrial Specialties,nyse
ATR,"AptarGroup, Inc.",Consumer Non-Durables,Plastic Products,nyse
APTV,Aptiv PLC,Capital Goods,Auto Parts:O.E.M.,nyse
WTR,"Aqua America, Inc.",Public Utilities,Water Supply,nyse
WTRU,"Aqua America, Inc.",Public Utilities,Water Supply,nyse
AQ,Aquantia Corp.,Technology,Semiconductors,nyse
WAAS,AquaVenture Holdings Limited,Public Utilities,Water Supply,nyse
ARMK,Aramark,Consumer Services,Restaurants,nyse
ABR,Arbor Realty Trust,Consumer Services,Real Estate Investment Trusts,nyse
ARC,"ARC Document Solutions, Inc.",Consumer Services,Professional Services,nyse
MT,ArcelorMittal,Basic Industries,Steel/Iron Ore,nyse
ARCH,"Arch Coal, Inc.",Energy,Coal Mining,nyse
ADM,Archer-Daniels-Midland Company,Consumer Non-Durables,Packaged Foods,nyse
AROC,"Archrock, Inc.",Public Utilities,Natural Gas Distribution,nyse
ARNC,Arconic Inc.,Capital Goods,Metal Fabrications,nyse
ARCO,Arcos Dorados Holdings Inc.,Consumer Services,Restaurants,nyse
ACA,"Arcosa, Inc.",Capital Goods,Metal Fabrications,nyse
RCUS,"Arcus Biosciences, Inc.",Health Care,Major Pharmaceuticals,nyse
ARD,Ardagh Group S.A.,Consumer Durables,Containers/Packaging,nyse
ASC,Ardmore Shipping Corporation,Transportation,Marine Transportation,nyse
AFC,Ares Capital Corporation,,,nyse
ACRE,Ares Commercial Real Estate Corporation,Consumer Services,Real Estate Investment Trusts,nyse
ARDC,"Ares Dynamic Credit Allocation Fund, Inc.",,,nyse
ARES,Ares Management Corporation,Finance,Investment Managers,nyse
AGX,"Argan, Inc.",Basic Industries,Engineering & Construction,nyse
ARGD,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,nyse
ARGO,"Argo Group International Holdings, Ltd.",Finance,Specialty Insurers,nyse
ANET,"Arista Networks, Inc.",Technology,Computer Communications Equipment,nyse
AI,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts,nyse
AIC,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts,nyse
AIW,Arlington Asset Investment Corp,Consumer Services,Real Estate Investment Trusts,nyse
ARLO,"Arlo Technologies, Inc.",Consumer Non-Durables,Consumer Electronics/Appliances,nyse
AHH,"Armada Hoffler Properties, Inc.",Finance,Real Estate,nyse
ARR,"ARMOUR Residential REIT, Inc.",Consumer Services,Real Estate Investment Trusts,nyse
AFI,"Armstrong Flooring, Inc.",Consumer Non-Durables,Plastic Products,nyse
AWI,Armstrong World Industries Inc,Consumer Non-Durables,Plastic Products,nyse
ARW,"Arrow Electronics, Inc.",Technology,Electronic Components,nyse
AJG,Arthur J. Gallagher & Co.,Finance,Specialty Insurers,nyse
APAM,Artisan Partners Asset Management Inc.,Finance,Investment Managers,nyse
ASA,ASA Gold and Precious Metals Limited,,,nyse
ABG,Asbury Automotive Group Inc,Consumer Durables,Automotive Aftermarket,nyse
ASX,"ASE Technology Holding Co., Ltd.",Technology,Semiconductors,nyse
ASGN,ASGN Incorporated,Technology,Professional Services,nyse
AHT,Ashford Hospitality Trust Inc,Consumer Services,Real Estate Investment Trusts,nyse
ASH,Ashland Global Holdings Inc.,Consumer Durables,Specialty Chemicals,nyse
ASPN,"Aspen Aerogels, Inc.",Consumer Services,RETAIL: Building Materials,nyse
AMK,"AssetMark Financial Holdings, Inc.",Finance,Investment Managers,nyse
ASB,Associated Banc-Corp,Finance,Major Banks,nyse
AC,"Associated Capital Group, Inc.",Finance,Investment Bankers/Brokers/Service,nyse
AIZ,"Assurant, Inc.",Finance,Accident &Health Insurance,nyse
AIZP,"Assurant, Inc.",Finance,Accident &Health Insurance,nyse
AGO,Assured Guaranty Ltd.,Finance,Property-Casualty Insurers,nyse
AZN,Astrazeneca PLC,Health Care,Major Pharmaceuticals,nyse
HOME,At Home Group Inc.,Consumer Services,Home Furnishings,nyse
T,AT&T Inc.,Public Utilities,Telecommunications Equipment,nyse
TBB,AT&T Inc.,Public Utilities,Telecommunications Equipment,nyse
TBC,AT&T Inc.,Public Utilities,Telecommunications Equipment,nyse
